Followers,Time
2018-11-13 22:27:22.090303,1
2018-11-13 22:28:24.764310,2
2018-11-13 22:28:33.761897,1
2018-11-14 01:37:15.451299,1
2018-11-27 16:23:56.242845,1
2018-11-27 16:47:34.207585,1
2018-11-27 16:48:09.841244,1
2018-11-27 20:49:23.776035,1
2018-11-27 20:56:43.027379,1
2018-11-27 20:57:04.334621,1
2018-11-27 20:57:22.754392,1
2018-11-27 21:09:03.078760,1
2018-11-27 21:10:28.251910,1
2018-11-27 21:11:53.928618,1
2018-11-27 21:12:25.260184,1
2018-11-27 21:13:17.474659,1
2018-11-27 21:13:52.044721,1
2018-11-27 21:14:28.744450,1
2018-11-27 21:14:55.110848,1
2018-11-27 21:15:29.793691,1
2018-11-27 21:16:15.533991,1
2018-12-10 19:15:32.754952,3
2018-12-10 19:16:37.028022,2
